Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
Reactome_2022	Collagen Formation R-HSA-1474290	7/90	1.0830644529756158e-05	0.0048783021058851	0	0	10.345206914614982	118.27810572540376	ADAMTS14;COL4A2;COL11A1;COL12A1;COL4A6;P3H1;PLEC	Reactome_2022
Reactome_2022	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	6/67	2.0981944541441343e-05	0.0048783021058851	0	0	12.004250151791137	129.30796127592805	ADAMTS14;COL4A2;COL11A1;COL12A1;COL4A6;P3H1	Reactome_2022
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	10/291	0.00018158767017468724	0.0281460888770765	0	0	4.403576737690887	37.93140595724603	FBN2;ADAMTS14;COL4A2;LAMA2;COL11A1;COL12A1;COL4A6;ITGAX;P3H1;PLEC	Reactome_2022
Reactome_2022	Neuronal System R-HSA-112316	11/386	0.000434366274641283	0.046668007843325	0	0	3.63527813163482	28.14295071953088	KCNH5;KCNK10;KCNS2;CACNA2D1;IL1RAPL1;GABRA3;KCNK13;CACNA1E;GRIN2B;ADCY6;PPM1F	Reactome_2022
Reactome_2022	Collagen Chain Trimerization R-HSA-8948216	4/44	0.0005018065359497311	0.046668007843325	0	0	12.06829268292683	91.68639050922722	COL4A2;COL11A1;COL12A1;COL4A6	Reactome_2022
