Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	17/291	4.5486489610121215e-05	0.0237913752441842	0	0	3.306609559429732	33.05979719002147	FGB;COL11A1;LAMA4;ITGAE;NID2;BMP7;CAPN13;ADAMTS14;COL3A1;VCAN;ADAMTS3;COL5A1;COL5A3;TNR;ADAM8;COL6A6;ADAMTS9	Reactome_2022
Reactome_2022	Diseases Of Metabolism R-HSA-5668914	15/247	8.209472869287024e-05	0.0237913752441842	0	0	3.434341048653755	32.30903305963333	MUC16;MUC17;ALG1;ACACA;ADAMTS20;RPIA;ADAMTS14;VCAN;ADAMTS3;CYP26C1;CHSY1;ADAMTS19;GPC2;ADAMTS9;MMADHC	Reactome_2022
Reactome_2022	Diseases Of Glycosylation R-HSA-3781865	11/143	9.281420771463307e-05	0.0237913752441842	0	0	4.401084010840108	40.863672593866006	ADAMTS14;VCAN;ADAMTS3;MUC16;CHSY1;ADAMTS19;MUC17;GPC2;ALG1;ADAMTS9;ADAMTS20	Reactome_2022
Reactome_2022	Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814	7/67	0.0002760804052901962	0.0424976386587296	0	0	6.117962466487936	50.13559145915125	ADAMTS14;COL3A1;ADAMTS3;COL5A1;COL11A1;COL5A3;COL6A6	Reactome_2022
Reactome_2022	Collagen Formation R-HSA-1474290	8/90	0.0003149757869779287	0.0424976386587296	0	0	5.124049305009179	41.315285324981936	ADAMTS14;COL3A1;ADAMTS3;COL5A1;COL11A1;LAMA4;COL5A3;COL6A6	Reactome_2022
Reactome_2022	Diseases Associated With O-glycosylation Of Proteins R-HSA-3906995	7/69	0.00033158105585484805	0.0424976386587296	0	0	5.920003459309868	47.42892624853572	ADAMTS14;ADAMTS3;MUC16;ADAMTS19;MUC17;ADAMTS9;ADAMTS20	Reactome_2022
