SAMPLE_ID	REF_COHORT	REF_COHORT_SIZE	ENSEMBL_GENE_ID	TPM_LOG2_GENE	MEAN	STD	Z_SCORE	Q1	Q2	Q3	IQR	PERCENTILE
TCGA-86-8358	tcga_luad	530	ENSG00000178075	2.85521	4.841538065	3.323999127	-0.59757	2.6595	3.8872	6.1467	3.4872	28.2
TCGA-86-8358	tcga_luad	530	ENSG00000065371	-3.1367	0.012856882	0.146844894	-21.44819	0.0	0.0	0.0186	0.0186	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000019995	4.13162	7.038566144	3.406167415	-0.85344	4.71405	6.5039	8.50495	3.7909	17.1
TCGA-86-8358	tcga_luad	530	ENSG00000166326	5.82287	27.292759831	14.069708867	-1.52597	18.4521	24.7522	33.4732	15.0211	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000137707	-2.81198	0.256144484	0.612273049	-5.01104	0.0	0.0889	0.26415	0.26415	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000157423	-1.52699	0.557705287	1.543340252	-1.35077	0.0489	0.1443	0.47115	0.42225	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000165023	2.42988	0.471341589	1.319192065	1.48465	0.0324	0.1038	0.32465	0.29225	96.0
TCGA-86-8358	tcga_luad	530	ENSG00000125503	5.66341	24.252520363	11.294110647	-1.64591	16.57435	22.1913	30.0475	13.47315	2.4
TCGA-86-8358	tcga_luad	530	ENSG00000171811	-1.7442	0.826761964	2.281091112	-1.12708	0.0718	0.2316	0.6661	0.5943	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000157450	4.65979	15.296050071	6.461562263	-1.64608	11.23	14.2822	18.3319	7.1019	1.5
TCGA-86-8358	tcga_luad	530	ENSG00000107672	5.19599	20.625832191	8.415834661	-1.83343	14.7299	19.5286	24.66885	9.93895	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000160993	5.02282	16.694083475	7.716631415	-1.51248	12.12855	15.4426	19.86465	7.7361	2.6
TCGA-86-8358	tcga_luad	530	ENSG00000196544	2.98308	10.368983947	3.796014524	-1.9457	8.0264	9.9457	12.51135	4.48495	3.0
TCGA-86-8358	tcga_luad	530	ENSG00000148719	4.95673	33.83252905	12.231271402	-2.36082	25.9931	31.7365	39.94675	13.95365	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000168769	3.46133	6.637669929	5.974333918	-0.53166	3.9129	5.4596	7.55125	3.63835	16.4
TCGA-86-8358	tcga_luad	530	ENSG00000104756	5.47871	19.901600018	10.710336593	-1.34663	12.58315	17.2086	23.93385	11.3507	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000130529	3.57014	27.825334341	23.252888472	-1.0431	13.59435	22.0109	33.97455	20.3802	1.5
TCGA-86-8358	tcga_luad	530	ENSG00000173068	0.1671	1.989147083	2.94284195	-0.61915	0.72025	1.3153	2.0916	1.37135	0.9
TCGA-86-8358	tcga_luad	530	ENSG00000130772	4.44069	26.725177012	11.616765631	-1.9183	19.56205	24.7968	31.14245	11.5804	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000197410	-1.12155	0.334179757	1.577547085	-0.92278	0.0324	0.0821	0.24615	0.21375	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000011258	4.44041	12.369034678	7.690789646	-1.03092	7.78155	10.5016	14.3057	6.52415	3.4
TCGA-86-8358	tcga_luad	530	ENSG00000114796	4.34125	28.229861305	19.371561965	-1.23318	17.137	23.0387	32.4132	15.2762	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000147874	3.82646	8.472529297	5.445997614	-0.85312	5.0369	6.9847	9.8874	4.8505	10.2
TCGA-86-8358	tcga_luad	530	ENSG00000043514	4.8677	12.416295101	8.238655342	-0.91624	8.45505	10.8532	13.963	5.50795	1.7
TCGA-86-8358	tcga_luad	530	ENSG00000148842	2.3131	2.925443316	1.531599792	-0.39981	1.97005	2.6777	3.57205	1.602	37.5
TCGA-86-8358	tcga_luad	530	ENSG00000135541	3.8285	7.535549717	6.320324584	-0.58653	4.51325	6.1066	8.38415	3.8709	17.3
TCGA-86-8358	tcga_luad	530	ENSG00000083828	2.41186	6.701202373	5.126298235	-0.83673	4.36855	5.5673	7.5484	3.17985	3.0
TCGA-86-8358	tcga_luad	530	ENSG00000141627	4.29129	10.674841783	4.439053256	-1.43804	7.70265	9.9059	12.41515	4.7125	1.3
TCGA-86-8358	tcga_luad	530	ENSG00000205413	3.19794	17.174602154	17.153675003	-0.81479	6.77695	12.0285	20.5378	13.76085	7.7
TCGA-86-8358	tcga_luad	530	ENSG00000137960	2.52947	2.739121603	4.595794474	-0.04562	0.67105	1.2282	2.90265	2.2316	71.0
TCGA-86-8358	tcga_luad	530	ENSG00000171466	3.06702	7.293237889	4.367437121	-0.96767	4.86205	6.3671	8.53645	3.6744	5.1
TCGA-86-8358	tcga_luad	530	ENSG00000119844	5.6618	40.57986422	15.213081263	-2.29527	30.801	37.5613	47.7593	16.9583	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000179454	3.29706	8.559074123	6.156401262	-0.85472	5.56925	7.3505	9.7256	4.15635	5.1
TCGA-86-8358	tcga_luad	530	ENSG00000011478	3.98784	18.635249415	12.995229287	-1.12714	12.194	16.8658	22.3676	10.1736	1.7
TCGA-86-8358	tcga_luad	530	ENSG00000167491	5.67174	38.873207609	16.043485203	-2.06947	28.324	36.7982	47.0043	18.6803	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000137871	2.54728	4.39110071	2.993702547	-0.6159	3.0041	3.8361	4.7894	1.7853	13.6
TCGA-86-8358	tcga_luad	530	ENSG00000155329	4.45242	20.877896455	8.297125294	-1.97966	15.15285	19.579	24.83865	9.6858	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000072864	4.20721	11.239014323	6.987380081	-1.00636	6.8065	9.5396	13.6819	6.8754	4.3
TCGA-86-8358	tcga_luad	530	ENSG00000186871	3.54067	3.9210491	3.704761806	-0.10267	1.45195	2.611	5.116	3.66405	61.4
TCGA-86-8358	tcga_luad	530	ENSG00000092439	4.21209	10.66670112	7.83083514	-0.82426	6.69515	9.1161	11.9673	5.27215	4.9
TCGA-86-8358	tcga_luad	530	ENSG00000116668	2.20223	6.942158436	3.436206529	-1.37941	4.88865	6.182	8.08795	3.1993	1.7
TCGA-86-8358	tcga_luad	530	ENSG00000074276	2.28735	2.97946997	14.531873643	-0.04763	0.16225	0.3196	0.71185	0.5496	89.8
TCGA-86-8358	tcga_luad	530	ENSG00000145723	2.55957	4.154944191	1.615392141	-0.98761	2.99395	3.9141	4.9089	1.91495	12.6
TCGA-86-8358	tcga_luad	530	ENSG00000137634	-1.29159	0.234318282	0.398088461	-3.83309	0.0366	0.115	0.27625	0.23965	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000141376	2.66234	5.94735394	2.93872183	-1.11784	3.9453	5.3562	7.4452	3.4999	8.9
TCGA-86-8358	tcga_luad	530	ENSG00000106819	4.7417	46.697794547	56.125261748	-0.74754	13.12105	27.2771	56.44465	43.3236	4.7
TCGA-86-8358	tcga_luad	530	ENSG00000198088	3.1147	6.472037288	5.60344407	-0.59916	2.90445	4.6872	8.4831	5.57865	27.5
TCGA-86-8358	tcga_luad	530	ENSG00000039987	-4.34813	0.048123101	0.288441085	-15.24142	0.0	0.0214	0.04895	0.04895	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000129003	4.38763	17.833424165	22.05156749	-0.60974	9.4639	13.5374	19.42145	9.95755	3.8
TCGA-86-8358	tcga_luad	530	ENSG00000196505	3.08122	7.818934878	7.874167434	-0.60168	4.809	6.3364	8.07055	3.26155	3.4
TCGA-86-8358	tcga_luad	530	ENSG00000119411	6.62804	50.317990277	32.371521059	-1.34964	28.3068	44.9793	64.0093	35.7025	1.5
TCGA-86-8358	tcga_luad	530	ENSG00000166272	4.26165	32.405377497	11.581641505	-2.43003	24.6328	31.0142	38.3711	13.7383	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000137821	2.50047	1.391257384	1.346540229	0.82375	0.6455	1.0236	1.6677	1.0222	88.5
TCGA-86-8358	tcga_luad	530	ENSG00000137074	2.79333	6.058603454	2.376571186	-1.37394	4.4983	5.5699	6.92035	2.42205	1.5
TCGA-86-8358	tcga_luad	530	ENSG00000134897	2.83635	4.083713274	2.60898069	-0.4781	2.5585	3.6238	4.92735	2.36885	31.5
TCGA-86-8358	tcga_luad	530	ENSG00000151690	5.89721	45.867421867	24.016636634	-1.66427	29.6439	41.582	57.6162	27.9723	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000137501	3.51966	14.88491856	14.917265144	-0.76189	6.3407	10.8357	18.8009	12.4602	11.1
TCGA-86-8358	tcga_luad	530	ENSG00000104413	7.23253	84.497506839	43.465246788	-1.77763	55.66115	76.5905	103.271	47.60985	0.9
TCGA-86-8358	tcga_luad	530	ENSG00000072858	1.80533	6.167455054	5.177741049	-0.84248	2.35415	4.4779	8.2808	5.92665	16.9
TCGA-86-8358	tcga_luad	530	ENSG00000236699	0.76341	8.5249294	8.334466414	-0.93126	3.8931	6.3355	9.9342	6.0411	3.0
TCGA-86-8358	tcga_luad	530	ENSG00000140995	5.46957	24.581541381	8.688208003	-2.19976	18.43575	23.839	29.70405	11.2683	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000127452	4.91038	18.280916907	6.086447598	-2.19677	14.1016	17.5704	21.488	7.3864	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000168876	4.97455	15.425717227	6.339664607	-1.64854	11.14715	14.3984	17.9449	6.79775	0.8
TCGA-86-8358	tcga_luad	530	ENSG00000137819	0.59101	5.405943332	6.808035477	-0.70724	1.79595	3.5484	6.1529	4.35695	4.7
TCGA-86-8358	tcga_luad	530	ENSG00000120314	4.26763	14.00635317	5.307013127	-1.83507	10.5999	13.0441	16.7607	6.1608	0.6
TCGA-86-8358	tcga_luad	530	ENSG00000105523	4.58288	49.406657968	38.525080325	-1.1635	22.61435	39.9527	67.5615	44.94715	5.5
TCGA-86-8358	tcga_luad	530	ENSG00000183508	4.82656	37.766588623	26.767407334	-1.2306	17.8828	31.6173	49.9364	32.0536	1.7
TCGA-86-8358	tcga_luad	530	ENSG00000116580	4.75739	16.191479823	8.285332318	-1.38004	10.92575	14.7162	19.84385	8.9181	3.0
TCGA-86-8358	tcga_luad	530	ENSG00000130055	-1.78289	0.660421858	7.818362222	-0.31251	0.07315	0.136	0.2426	0.16945	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000130517	4.83568	16.273159654	8.349114544	-1.3699	10.8233	14.5836	20.10505	9.28175	1.9
TCGA-86-8358	tcga_luad	530	ENSG00000163832	4.8258	18.313530501	6.151158601	-2.19271	14.2702	17.522	20.8987	6.6285	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000071203	-9.96578	-0.00290675	0.439581102	-22.66447	0.0	0.0	0.0	0.0	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000163788	3.8526	13.400277209	6.912574978	-1.3812	9.19535	12.0467	15.571	6.37565	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000132024	6.26331	30.621535609	13.276266413	-1.83472	21.31655	29.8759	37.903	16.58645	2.3
TCGA-86-8358	tcga_luad	530	ENSG00000198113	2.93216	34.126894643	20.308842217	-1.53602	20.85145	31.6909	43.7542	22.90275	1.1
TCGA-86-8358	tcga_luad	530	ENSG00000160818	5.26693	29.790799866	15.911225262	-1.54129	18.76505	25.9869	37.0142	18.24915	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000166143	3.06554	54.663661465	94.52210423	-0.54588	2.6627	14.7256	61.18765	58.52495	27.1
TCGA-86-8358	tcga_luad	530	ENSG00000119777	6.39205	93.313446983	34.408289672	-2.52618	72.14295	90.0576	111.8893	39.74635	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000109066	5.36746	22.271386746	9.301440056	-1.81735	15.641	21.392	27.49385	11.85285	2.1
TCGA-86-8358	tcga_luad	530	ENSG00000131037	2.7441	25.846675323	23.744924192	-0.97295	11.1844	18.9899	33.2887	22.1043	3.6
TCGA-86-8358	tcga_luad	530	ENSG00000198218	5.62633	42.250032074	13.200682784	-2.77438	33.2937	41.0942	49.35035	16.05665	0.2
TCGA-86-8358	tcga_luad	530	ENSG00000174227	3.55928	14.668064565	6.206152105	-1.78996	10.195	13.3923	17.744	7.549	0.4
TCGA-86-8358	tcga_luad	530	ENSG00000099260	1.12247	5.071836297	4.868793581	-0.81116	2.16505	3.7113	6.20265	4.0376	5.3
