sample_id	n_genes
TCGA-55-A48Y	42282
TCGA-55-A48Z	42282
TCGA-55-A490	42282
TCGA-55-A491	42282
TCGA-55-A492	42282
TCGA-55-A493	42282
TCGA-55-A494	42282
TCGA-55-A4DF	42282
TCGA-55-A4DG	42282
TCGA-55-A57B	42282
TCGA-62-8394	42282
TCGA-62-8395	42282
TCGA-62-8397	42282
TCGA-62-8398	42282
TCGA-62-8399	42282
TCGA-62-8402	42282
TCGA-62-A46O	42282
TCGA-62-A46P	42282
TCGA-62-A46R	42282
TCGA-62-A46S	42282
TCGA-62-A46U	42282
TCGA-62-A46V	42282
TCGA-62-A46Y	42282
TCGA-62-A470	42282
TCGA-62-A471	42282
TCGA-62-A472	42282
TCGA-64-1676	42282
TCGA-64-1677	42282
TCGA-64-1678	42282
TCGA-64-1679	42282
TCGA-64-1680	42282
TCGA-64-1681	42282
TCGA-64-5774	42282
TCGA-64-5775	42282
TCGA-64-5778	42282
TCGA-64-5779	42282
TCGA-64-5781	42282
TCGA-64-5815	42282
TCGA-67-3770	42282
TCGA-67-3771	42282
TCGA-67-3772	42282
TCGA-67-3773	42282
TCGA-67-3774	42282
TCGA-67-4679	42282
TCGA-67-6215	42282
TCGA-67-6216	42282
TCGA-67-6217	42282
TCGA-69-7760	42282
TCGA-69-7761	42282
TCGA-69-7763	42282
TCGA-69-7764	42282
TCGA-69-7765	42282
TCGA-69-7973	42282
TCGA-69-7974	42282
TCGA-69-7978	42282
TCGA-69-7979	42282
TCGA-69-7980	42282
TCGA-69-8253	42282
TCGA-69-8254	42282
TCGA-69-8255	42282
TCGA-69-8453	42282
TCGA-69-A59K	42282
TCGA-71-6725	42282
TCGA-71-8520	42282
TCGA-73-4658	42282
TCGA-73-4659	42282
TCGA-73-4662	42282
TCGA-73-4666	42282
TCGA-73-4668	42282
TCGA-73-4670	42282
TCGA-73-4675	42282
TCGA-73-4676	42282
TCGA-73-4677	42282
TCGA-73-7498	42282
TCGA-73-7499	42282
TCGA-73-A9RS	42282
TCGA-75-5122	42282
TCGA-75-5125	42282
TCGA-75-5126	42282
TCGA-75-5146	42282
TCGA-75-5147	42282
TCGA-75-6203	42282
TCGA-75-6205	42282
TCGA-75-6206	42282
TCGA-75-6207	42282
TCGA-75-6211	42282
TCGA-75-6212	42282
TCGA-75-6214	42282
TCGA-75-7025	42282
TCGA-75-7027	42282
TCGA-75-7030	42282
TCGA-75-7031	42282
TCGA-78-7143	42282
TCGA-78-7145	42282
TCGA-78-7146	42282
TCGA-78-7147	42282
TCGA-78-7148	42282
TCGA-78-7149	42282
TCGA-78-7150	42282
TCGA-78-7152	42282
TCGA-78-7153	42282
TCGA-78-7154	42282
TCGA-78-7155	42282
TCGA-78-7156	42282
TCGA-78-7158	42282
TCGA-78-7159	42282
TCGA-78-7160	42282
TCGA-78-7161	42282
TCGA-78-7162	42282
TCGA-78-7163	42282
TCGA-78-7166	42282
TCGA-78-7167	42282
TCGA-78-7220	42282
TCGA-78-7535	42282
TCGA-78-7536	42282
TCGA-78-7537	42282
TCGA-78-7539	42282
TCGA-78-7540	42282
TCGA-78-7542	42282
TCGA-78-7633	42282
TCGA-78-8640	42282
TCGA-78-8648	42282
TCGA-78-8655	42282
TCGA-78-8660	42282
TCGA-78-8662	42282
TCGA-80-5607	42282
TCGA-80-5608	42282
TCGA-80-5611	42282
TCGA-83-5908	42282
TCGA-86-6562	42282
TCGA-86-6851	42282
TCGA-86-7701	42282
TCGA-86-7711	42282
TCGA-86-7713	42282
TCGA-86-7714	42282
TCGA-86-7953	42282
TCGA-86-7954	42282
TCGA-86-7955	42282
TCGA-86-8054	42282
TCGA-86-8055	42282
TCGA-86-8056	42282
TCGA-86-8073	42282
TCGA-86-8074	42282
TCGA-86-8075	42282
TCGA-86-8076	42282
TCGA-86-8278	42282
TCGA-86-8279	42282
TCGA-86-8280	42282
TCGA-86-8281	42282
TCGA-86-8358	42282
TCGA-86-8359	42282
TCGA-86-8585	42282
TCGA-86-8668	42282
TCGA-86-8669	42282
TCGA-86-8671	42282
TCGA-86-8672	42282
TCGA-86-8673	42282
TCGA-86-8674	42282
TCGA-86-A456	42282
TCGA-86-A4D0	42282
TCGA-86-A4JF	42282
TCGA-86-A4P7	42282
TCGA-86-A4P8	42282
TCGA-91-6828	42282
TCGA-91-6829	42282
TCGA-91-6830	42282
TCGA-91-6831	42282
