Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	gene_set_db
KEGG_2021_Human	Focal adhesion	17/201	2.544771064144466e-06	0.0006209241396512497	0	0	4.211739130434783	54.25339069702385	MAP2K1;SHC3;FLT1;ITGB4;LAMA1;LAMA4;TNC;LAMB1;MYLK;COL4A2;FLNA;TNR;COL4A5;PIP5K1B;ITGAV;PIP5K1C;PAK5	KEGG_2021_Human
Reactome_2022	Sensory Perception R-HSA-9709957	32/616	7.685214874602769e-06	0.006809100378898	0	0	2.5357834948212497	29.86192458178778	OR7G1;OR11H4;OR4K1;OR10AG1;LRP8;OR2T11;OR5M10;GRM4;GNAT3;GRK7;XIRP2;BCO2;OR8D2;APOB;SCN3A;OR2A25;OR8J3;TAS2R30;WHRN;OR13G1;OR1J4;LHFPL5;TAS2R16;MYO7A;RPE65;OTOGL;OR51V1;OR2T2;NAPEPLD;OR8A1;OR4A15;PNLIP	Reactome_2022
Reactome_2022	ECM Proteoglycans R-HSA-3000178	8/55	2.6169295016465968e-05	0.0114442125126398	0	0	7.652122757133053	80.73696396876967	VCAN;LAMA1;NCAN;LAMA4;TNR;ITGAV;LAMB1;FMOD	Reactome_2022
Reactome_2022	Axon Guidance R-HSA-422475	27/519	3.875015523467234e-05	0.0114442125126398	0	0	2.521216573611519	25.611465418143997	SEMA5A;TRIO;SHC3;LAMA1;NCAN;RPLP0;IRS2;KALRN;PSMA7;ROBO1;POTEF;ITGAV;SLIT3;PIP5K1C;EPHB1;SCN3A;EPHB3;MAP2K1;TRPC5;DSCAM;LAMB1;ANK1;DNM1;SCN10A;PTPRC;COL4A2;COL4A5	Reactome_2022
Reactome_2022	Receptor-type Tyrosine-Protein Phosphatases R-HSA-388844	5/20	6.073266955914325e-05	0.0125890562579102	0	0	14.906941266209	144.7319219421838	PTPRD;NTRK3;SLITRK4;SLITRK6;LRRC4B	Reactome_2022
Reactome_2022	Nervous System Development R-HSA-9675108	27/545	8.840995846644345e-05	0.0125890562579102	0	0	2.391403451644416	22.320226154501	SEMA5A;TRIO;SHC3;LAMA1;NCAN;RPLP0;IRS2;KALRN;PSMA7;ROBO1;POTEF;ITGAV;SLIT3;PIP5K1C;EPHB1;SCN3A;EPHB3;MAP2K1;TRPC5;DSCAM;LAMB1;ANK1;DNM1;SCN10A;PTPRC;COL4A2;COL4A5	Reactome_2022
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	18/291	9.128399861158e-05	0.0125890562579102	0	0	2.998911465892598	27.894480103962756	COL28A1;COL27A1;COL14A1;ITGB4;LAMA1;NCAN;LAMA4;COL12A1;LAMB1;LTBP1;KLK7;VCAN;COL4A2;ADAMTS1;TNR;COL4A5;ITGAV;FMOD	Reactome_2022
Reactome_2022	Laminin Interactions R-HSA-3000157	5/22	9.946206975775576e-05	0.0125890562579102	0	0	13.1518373939965	121.2038375981824	ITGB4;LAMA1;LAMA4;LAMB1;ITGAV	Reactome_2022
KEGG_2021_Human	ECM-receptor interaction	9/88	0.00014150571204952958	0.0172636968700426	0	0	5.1250036542228194	45.42378106650433	COL4A2;ITGB4;LAMA1;LAMA4;TNC;TNR;COL4A5;ITGAV;LAMB1	KEGG_2021_Human
KEGG_2021_Human	Dilated cardiomyopathy	9/96	0.00027498729614464383	0.0223656334197643	0	0	4.6518276658437525	38.13933794649718	CACNG6;RYR2;ACTC1;ITGB4;LAMA1;ITGAV;ADCY1;MYH7;TTN	KEGG_2021_Human
KEGG_2021_Human	Phospholipase D signaling pathway	11/148	0.000460284606052294	0.0280773609691899	0	0	3.617982285298152	27.799365849649003	MAP2K1;SHC3;GRM4;PLCB4;TSC2;PIP5K1B;LPAR4;PIP5K1C;ADCY1;PLD1;DNM1	KEGG_2021_Human
Reactome_2022	Diseases Of Glycosylation R-HSA-3781865	11/143	0.0003431802807451081	0.0341034176596939	0	0	3.75599381283836	29.96251910522121	SEMA5A;VCAN;MUC16;MUC17;ADAMTS1;NOTCH4;NCAN;MAN1B1;MUC5B;FMOD;ADAMTS6	Reactome_2022
Reactome_2022	L1CAM Interactions R-HSA-373760	9/99	0.0003464229784844753	0.0341034176596939	0	0	4.496073903002309	35.8240426654636	MAP2K1;SCN10A;LAMA1;NCAN;ITGAV;LAMB1;ANK1;SCN3A;DNM1	Reactome_2022
Reactome_2022	Collagen Chain Trimerization R-HSA-8948216	6/44	0.0003902890585616773	0.0345796105885646	0	0	7.069048768710768	55.48229817156961	COL28A1;COL27A1;COL4A2;COL14A1;COL12A1;COL4A5	Reactome_2022
KEGG_2021_Human	Hypertrophic cardiomyopathy	8/90	0.0008509803864608174	0.0392560142445473	0	0	4.378104979206474	30.949355938354596	CACNG6;RYR2;ACTC1;ITGB4;LAMA1;ITGAV;MYH7;TTN	KEGG_2021_Human
KEGG_2021_Human	PI3K-Akt signaling pathway	18/354	0.0009653118256855918	0.0392560142445473	0	0	2.4286556603773586	16.862300447536246	IFNAR2;MAP2K1;FLT1;ITGB4;LAMA1;LAMA4;MAGI2;TNC;TSC2;LAMB1;LPAR4;HSP90B1;COL4A2;TNR;COL4A5;ITGAV;JAK1;IFNA21	KEGG_2021_Human
