Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes	gene_set_db	luad_relevant
prerank	Unfolded Protein Response	0.7534934285061462	6.568189484974187	0.0	0.0	0.0	95/112	17.50%	CALR;EEF2;XBP1;HSP90B1;HSPA5;PDIA6;YWHAZ;BANF1;RPS14;SRPRA;HYOU1;H2AX;ATF4;EIF4G1;CEBPB;ALDH18A1;SERP1;NOLC1;NPM1;KIF5B;EIF4EBP1;FUS;KHSRP;HERPUD1;BAG3;YIF1A;SHC1;HSPA9;ATF6;SEC31A;DNAJB9;EIF4A2;TUBB2A;LSM4;PREB;DNAJC3;DKC1;SLC7A5;SEC11A;EXOSC5;ARFGAP1;ERO1A;NHP2;PAIP1;TARS1;EIF4A3;SSR1;SPCS3;NOP56;EDEM1;SPCS1;IARS1;XPOT;WFS1;DDIT4;CEBPG;SDAD1;KDELR3;NOP14;EIF2S1;CKS1B;EXOSC4;PSAT1;SRPRB;DCTN1;ATP6V0D1;CXXC1;VEGFA;EXOSC10;RRP9;PDIA5;CCL2;SLC1A4;EIF2AK3;SLC30A5;EXOC2;LSM1;CNOT6;ATF3;EXOSC1;ZBTB17;GEMIN4;MTREX;ERN1;NFYA;MTHFD2;POP4;WIPI1;NFYB;EDC4;IMP3;CNOT2;PARN;TSPYL2;DCP1A	MSigDB_Hallmark_2020	False
prerank	PD-L1 expression and PD-1 checkpoint pathway in cancer	0.6075113877749366	5.220148422484697	0.0	0.0	0.0	75/89	29.00%	NFKBIA;STAT1;JUN;STAT3;HIF1A;IFNGR2;IFNGR1;RELA;MAPK3;NRAS;MAP2K3;CD4;MAPK13;HRAS;NFKBIB;PTPN11;AKT1;MAP2K1;MAP2K2;MAPK1;PPP3CB;FOS;EGFR;RPS6KB2;EML4;PTPN6;CD3D;JAK1;MYD88;PPP3R1;PLCG1;BATF;NFKBIE;MAPK14;CHUK;KRAS;AKT2;CD3E;MTOR;PPP3CC;NFKB1;PTEN;PIK3CD;IKBKB;TICAM1;MAP3K3;RAF1;RPS6KB1;PPP3CA;PIK3R3;LCK;PIK3CB;BATF2;CSNK2B;PIK3R1;CSNK2A1;AKT3;TLR2;TRAF6;NFATC2;IKBKG;NFATC3;PDCD1;CD274;CD247;CSNK2A2;TIRAP;MAPK12;TLR4;MAPK11;CD3G;ZAP70;JAK2;PIK3CA;PRKCQ	KEGG_2021_Human	True
prerank	N-Glycan biosynthesis	0.6759007979252655	4.9401363721771485	0.0	0.0	0.0	32/50	13.45%	RPN2;DDOST;B4GALT1;GANAB;DAD1;RPN1;STT3B;STT3A;B4GALT3;DPM1;DPM3;TUSC3;MAN1A1;MOGS;MGAT4B;MGAT1;B4GALT2;DPM2;DPAGT1;ALG8;ALG3;ALG2;MAN1B1;ST6GAL1;ALG5;DOLK;MGAT5;DOLPP1;FUT8;MGAT4A;MAN2A2;MAN1A2	KEGG_2021_Human	False
prerank	Interferon Alpha Response	0.7252884672490167	4.92124688919453	0.0	0.0	0.0	87/97	24.84%	HLA-C;B2M;CD74;LGALS3BP;IFITM3;PSME1;TXNIP;IFITM1;IFITM2;BST2;ISG15;ADAR;IFI27;UBE2L6;C1S;LY6E;TAP1;WARS1;LAP3;PSME2;PSMB8;CD47;NCOA7;CNP;PSMA3;CXCL10;LAMP3;IRF7;TRAFD1;TENT5A;SLC25A28;PSMB9;IFI35;STAT2;TRIM21;ELF1;IRF2;PARP14;OGFR;NUB1;PARP9;ISG20;IL4R;TRIM26;IFIT3;PLSCR1;OAS1;IRF1;RIPK2;CMTR1;GBP2;PNPT1;TMEM140;GBP4;PARP12;MOV10;NMI;MVB12A;CSF1;PROCR;TDRD7;EIF2AK2;TRIM14;USP18;IFIH1;SELL;TRIM25;TRIM5;RTP4;UBA7;HELZ2;BATF2;CASP8;IFI44;EPSTI1;CASP1;MX1;DHX58;GMPR;SAMD9L;SP110;IFIT2;HERC6;CCRL2;CMPK2;RSAD2;DDX60	MSigDB_Hallmark_2020	True
prerank	p53 signaling pathway	0.6992435598894314	4.877939826041723	0.0	0.0	0.0	68/73	28.00%	IGFBP3;SFN;PERP;EI24;CCND1;GADD45G;THBS1;SHISA5;CDK4;CYCS;BAX;BCL2L1;CDKN1A;CCNB1;CCNG1;SIVA1;TP53;COP1;GADD45B;TNFRSF10B;SERPINE1;CASP3;TP53I3;CD82;GADD45A;CCND3;CCNG2;CDK1;AIFM2;STEAP3;CDK2;RRM2B;SESN3;PTEN;CCNB2;RRM2;MDM2;CCND2;ADGRB1;TNFRSF10A;CASP9;BID;SESN2;APAF1;CHEK1;DDB2;TSC2;RCHY1;CDKN2A;CASP8;BBC3;PPM1D;GORAB;CHEK2;PMAIP1;MDM4;GTSE1;BCL2;CCNE1;SESN1;PIDD1;SERPINB5;ZMAT3;CDK6;RPRM;SIAH1;FAS;ATM	KEGG_2021_Human	True
prerank	Chagas disease	0.6244705493846356	4.774755115054583	0.0	0.0	0.0	82/101	28.61%	CALR;NFKBIA;GNAS;C1QC;C1QB;C1QA;CXCL8;IRAK1;C3;PPP2R1A;JUN;GNAI2;IFNGR2;TNFRSF1A;IFNGR1;RELA;MAPK3;TGFB1;PPP2CB;CCL5;MAPK13;TGFBR2;AKT1;MAPK1;PPP2CA;TGFBR1;FOS;SERPINE1;CD3D;PLCB3;MYD88;PPP2R1B;CCL2;GNAI3;MAP2K4;MAPK14;PPP2R2A;CHUK;AKT2;GNAQ;CD3E;GNA11;NFKB1;PIK3CD;IKBKB;TICAM1;PPP2R2D;MAPK9;GNA14;PIK3R3;MAPK8;BDKRB2;GNA15;PIK3CB;IL1B;IRAK4;CCL3L3;PIK3R1;CASP8;CFLAR;TGFB3;ACE;PLCB2;AKT3;TLR2;SMAD2;FADD;TRAF6;IKBKG;CCL3;CD247;MAPK12;TLR4;MAPK11;PPP2R2C;TNF;PLCB1;GNAL;CD3G;FAS;ADCY1;PIK3CA	KEGG_2021_Human	False
prerank	Endometrial cancer	0.672069954491621	4.710876973660174	0.0	0.0	0.0	45/58	21.09%	CDH1;ERBB2;CTNNA1;GRB2;CCND1;GADD45G;CTNNB1;ARAF;MAPK3;BAX;NRAS;HRAS;CDKN1A;AKT1;MAP2K1;MAP2K2;MAPK1;TP53;GADD45B;EGFR;ELK1;BAK1;GADD45A;BAD;KRAS;AKT2;FOXO3;TCF7L1;PTEN;PIK3CD;SOS1;MYC;SOS2;RAF1;AXIN1;PIK3R3;CASP9;TCF7L2;DDB2;PIK3CB;PIK3R1;GSK3B;MLH1;AXIN2;AKT3	KEGG_2021_Human	False
prerank	Leishmaniasis	0.6782502799193074	4.61769127546386	0.0	0.0	0.0	59/74	26.75%	HLA-DRA;HLA-DRB1;EEF1A1;HLA-DRB5;MARCKSL1;NFKBIA;IRAK1;C3;CYBA;HLA-DPA1;STAT1;JUN;HLA-DQB1;HLA-DPB1;FCGR3A;HLA-DQA1;ITGB1;IFNGR2;CYBB;IFNGR1;HLA-DMA;ITGB2;RELA;MAPK3;TGFB1;MAPK13;PTGS2;NFKBIB;MAPK1;FOS;TAB2;NCF2;PTPN6;ELK1;JAK1;MYD88;HLA-DQA2;HLA-DOA;HLA-DMB;MAPK14;FCGR2A;NFKB1;TAB1;NCF4;MAP3K7;IL1B;IRAK4;ITGAM;FCGR3B;TGFB3;TLR2;TRAF6;ITGA4;NCF1;FCGR1A;MAPK12;TLR4;MAPK11;TNF	KEGG_2021_Human	False
prerank	Colorectal cancer	0.7059120356407226	4.592996462041044	0.0	0.0	0.0	72/86	22.55%	RHOA;RAC1;JUN;GRB2;CCND1;GADD45G;CTNNB1;RAC3;ARAF;MAPK3;TGFB1;CYCS;BAX;NRAS;RALA;HRAS;CDKN1A;RALB;BIRC5;RAC2;TGFBR2;AKT1;MAP2K1;MAP2K2;MAPK1;TGFBR1;FOS;TP53;GADD45B;CASP3;EGFR;RPS6KB2;BAK1;GADD45A;BAD;KRAS;AKT2;MTOR;SMAD3;TCF7L1;MSH6;PIK3CD;SOS1;TGFA;MYC;SOS2;APPL1;MAPK9;RAF1;RPS6KB1;AXIN1;PIK3R3;CASP9;TCF7L2;SMAD4;AREG;MAPK8;BCL2L11;DDB2;PIK3CB;PIK3R1;BBC3;MSH2;TGFB3;GSK3B;MLH1;AXIN2;AKT3;MSH3;PMAIP1;SMAD2;BCL2	KEGG_2021_Human	False
prerank	UV Response Dn	0.6843371303178076	4.522350234229482	0.0	0.0	0.0	121/144	26.74%	COL3A1;COL1A1;ID1;COL1A2;F3;DUSP1;IGFBP5;ERBB2;KIT;CITED2;LAMC1;ANXA2;SRI;BHLHE40;CDKN1B;ATP2B4;COL5A2;GJA1;TGFBR2;ATP2C1;PIAS3;NEK7;SERPINE1;LPAR1;EFEMP1;SDC2;MT1E;NR3C1;PDGFRB;PEX14;INSIG1;CAV1;DDAH1;ZMIZ1;PLPP3;CCN1;ATRN;LTBP1;YTHDC1;ANXA4;FBLN5;SCAF8;SPOP;MAPK14;ADD3;GRK5;SMAD7;ATP2B1;ICA1;NRP1;VAV2;SMAD3;NFKB1;IGF1R;PTEN;PIK3CD;ABCC1;RBPMS;LDLR;NOTCH2;MYC;PRDM2;MTA1;MET;RXRA;MRPS31;TJP1;CELF2;NR1D2;NFIB;MGMT;SLC7A1;RND3;FYN;PIK3R3;BMPR1A;TFPI;NIPBL;DAB2;IRS1;SYNJ2;MIOS;RUNX1;PMP22;FZD2;TENT4A;BCKDHB;MGLL;PHF3;WDR37;PRKAR2B;FHL2;CDC42BPA;DLC1;ATRX;CDON;AKT3;SLC22A18;SIPA1L1;PDLIM5;DBP;PRKCA;PTPN21;ATXN1;AGGF1;CDK13;DMAC2L;COL11A1;PTPRM;APBB2;DLG1;MAP1B;SFMBT1;GCNT1;ACVR2A;SNAI2;RASA2;CAP2;PRKCE;SYNE1;MAP2K5	MSigDB_Hallmark_2020	False
